# x_m,y_m,w_tr_right_m,w_tr_left_m
0.3250,1.6750,0.8500,0.8500
0.2750,1.6750,0.8515,0.8515
0.2250,1.6750,0.8559,0.8559
0.1750,1.6750,0.8631,0.8631
0.1250,1.7250,0.8500,0.8500
0.0750,1.7250,0.8500,0.8500
0.0250,1.7250,0.8500,0.8500
-0.0250,1.7250,0.8500,0.8500
-0.0750,1.7250,0.8500,0.8500
-0.1250,1.7250,0.8500,0.8500
-0.1750,1.7250,0.8500,0.8500
-0.2250,1.7250,0.8500,0.8500
-0.2750,1.7750,0.8000,0.8000
-0.3250,1.7750,0.8000,0.8000
-0.3750,1.7750,0.8000,0.8000
-0.4250,1.7750,0.8000,0.8000
-0.4750,1.7750,0.8000,0.8000
-0.5250,1.7750,0.8000,0.8000
-0.5750,1.7750,0.8000,0.8000
-0.6250,1.7750,0.8000,0.8000
-0.6750,1.7750,0.8000,0.8000
-0.7250,1.7750,0.8000,0.8000
-0.7750,1.7750,0.8000,0.8000
-0.8250,1.7750,0.8000,0.8000
-0.8750,1.7750,0.8000,0.8000
-0.9250,1.7750,0.8000,0.8000
-0.9750,1.7750,0.8000,0.8000
-1.0250,1.7750,0.8000,0.8000
-1.0750,1.8250,0.7500,0.7500
-1.1250,1.8250,0.7500,0.7500
-1.1750,1.8250,0.7500,0.7500
-1.2250,1.7750,0.7566,0.7566
-1.2750,1.7750,0.7517,0.7517
-1.3250,1.7750,0.7500,0.7500
-1.3750,1.7750,0.7500,0.7500
-1.4250,1.7750,0.7433,0.7433
-1.4750,1.7750,0.7280,0.7280
-1.5250,1.8250,0.7433,0.7433
-1.5750,1.8250,0.7280,0.7280
-1.6250,1.8250,0.7159,0.7159
-1.6750,1.8250,0.7071,0.7071
-1.7250,1.8250,0.7018,0.7018
-1.7750,1.8250,0.7000,0.7000
-1.8250,1.8250,0.7000,0.7000
-1.8750,1.8250,0.7000,0.7000
-1.9250,1.8250,0.7000,0.7000
-1.9750,1.8250,0.7000,0.7000
-2.0250,1.8250,0.7000,0.7000
-2.0750,1.8250,0.7000,0.7000
-2.1250,1.8250,0.7000,0.7000
-2.1750,1.8250,0.7000,0.7000
-2.2250,1.7750,0.6500,0.6500
-2.2750,1.7750,0.6500,0.6500
-2.3250,1.7750,0.6500,0.6500
-2.3750,1.7750,0.6500,0.6500
-2.4250,1.7750,0.6500,0.6500
-2.4750,1.7750,0.6500,0.6500
-2.5250,1.7750,0.6500,0.6500
-2.5750,1.7750,0.6500,0.6500
-2.6250,1.7750,0.6500,0.6500
